Train number,Frame number,Frame start,Frame end,Train lengths,Gaps
0,44,0,1920,1920,1782
1,77,0,1920,1920,3702
2,104,220,1920,1700,5622
3,127,370,1920,1550,7322
4,150,380,1920,1540,8872
5,173,380,1920,1540,10412
6,198,230,1920,1690,11952
7,225,190,1920,1730,13642
8,248,350,1920,1570,15372
9,274,220,1920,1700,16942
10,300,220,1920,1700,18642
11,323,380,1920,1540,20342
12,346,360,1920,1560,21882
13,368,400,1920,1520,23442
14,394,210,1920,1710,24962
15,420,200,1920,1720,26672
16,443,390,1920,1530,28392
17,466,360,1920,1560,29922
18,488,410,1920,1510,31482
19,514,220,1920,1700,32992
20,546,0,1920,1920,34692
21,575,0,1920,1920,36612
22,607,0,1920,1920,38532
23,639,0,1920,1920,40452
24,668,0,1920,1920,42372
25,700,0,1920,1920,44292
26,734,0,1920,1920,46212
27,766,0,1920,1920,48132
28,795,0,1920,1920,50052
29,827,0,1920,1920,51972
30,853,230,1920,1690,53892
31,877,330,1920,1590,55582
32,900,360,1920,1560,57172
33,923,400,1920,1520,58732
34,949,210,1920,1710,60252
35,976,180,1920,1740,61962
36,999,370,1920,1550,63702
37,1022,370,1920,1550,65252
38,1045,350,1920,1570,66802
39,1071,210,1920,1710,68372
40,1098,160,1920,1760,70082
41,1121,350,1920,1570,71842
42,1144,370,1920,1550,73412
43,1167,390,1920,1530,74962
44,1194,160,1920,1760,76492
45,1223,0,1920,1920,78252
46,1250,190,1920,1730,80172
47,1273,360,1920,1560,81902
48,1296,370,1920,1550,83462
49,1319,390,1920,1530,85012
50,1345,210,1920,1710,86542
51,1372,180,1920,1740,88252
52,1394,430,1920,1490,89992
53,1418,380,1920,1540,91482
54,1441,390,1920,1530,93022
55,1467,210,1920,1710,94552
56,1494,190,1920,1730,96262
57,1517,380,1920,1540,97992
58,1540,380,1920,1540,99532
59,1563,400,1920,1520,101072
60,1590,180,1920,1740,102592
61,1617,160,1920,1760,104332
62,1640,370,1920,1550,106092
63,1664,360,1920,1560,107642
64,1688,350,1920,1570,109202
65,1715,150,1920,1770,110772
66,1750,0,1920,1920,112542
67,1777,190,1920,1730,114462
68,1800,390,1920,1530,116192
69,1823,400,1920,1520,117722
70,1846,430,1920,1490,119242
71,1873,200,1920,1720,120732
72,1899,230,1920,1690,122452
73,1923,380,1920,1540,124142
74,1946,390,1920,1530,125682
75,1969,420,1920,1500,127212
76,1996,190,1920,1730,128712
77,2028,0,1920,1920,130442
78,2058,0,1920,1920,132362
79,2090,0,1920,1920,134282
80,2123,0,1920,1920,136202
81,2152,0,1920,1920,138122
82,2185,0,1920,1920,140042
83,2221,0,1920,1920,141962
84,2253,0,1920,1920,143882
85,2283,0,1920,1920,145802
86,2316,0,1920,1920,147722
87,2348,0,1920,1920,149642
88,2378,0,1920,1920,151562
89,2411,0,1920,1920,153482
90,2446,0,1920,1920,155402
91,2473,210,1920,1710,157322
92,2496,410,1920,1510,159032
93,2520,380,1920,1540,160542
94,2543,410,1920,1510,162082
95,2570,190,1920,1730,163592
96,2597,180,1920,1740,165322
97,2620,390,1920,1530,167062
98,2644,350,1920,1570,168592
99,2667,380,1920,1540,170162
100,2694,160,1920,1760,171702
101,2721,150,1920,1770,173462
102,2745,330,1920,1590,175232
103,2772,150,1920,1770,176822
104,2798,350,1920,1570,178592
105,2822,380,1920,1540,180162
106,2846,380,1920,1540,181702
107,2869,410,1920,1510,183242
108,2896,210,1920,1710,184752
109,2923,210,1920,1710,186462
110,2946,440,1920,1480,188172
111,2970,410,1920,1510,189652
112,2993,430,1920,1490,191162
113,3020,220,1920,1700,192652
114,3047,210,1920,1710,194352
115,3071,380,1920,1540,196062
116,3095,360,1920,1560,197602
117,3118,410,1920,1510,199162
118,3145,210,1920,1710,200672
119,3175,0,1920,1920,202382
120,3202,220,1920,1700,204302
121,3226,390,1920,1530,206002
122,3249,410,1920,1510,207532
123,3273,380,1920,1540,209042
124,3299,240,1920,1680,210582
125,3330,0,1920,1920,212262
126,3357,170,1920,1750,214182
127,3380,370,1920,1550,215932
128,3404,380,1920,1540,217482
129,3427,410,1920,1510,219022
130,3454,210,1920,1710,220532
131,3481,340,1920,1580,222242
132,3505,370,1920,1550,223822
133,3529,350,1920,1570,225372
134,3552,390,1920,1530,226942
135,3579,190,1920,1730,228472
136,3614,0,1920,1920,230202
137,3645,0,1920,1920,232122
138,3675,0,1920,1920,234042
139,3702,200,1920,1720,235962
140,3726,350,1920,1570,237682
141,3749,390,1920,1530,239252
142,3773,380,1920,1540,240782
143,3800,180,1920,1740,242322
144,3835,0,1920,1920,244062
145,3871,0,1920,1920,245982
 ,,,,,247902
