Train number,Frame number,Frame start,Frame end,Train lengths,Gaps
0,61,0,990,990,717
1,90,0,920,920,1707
2,120,0,950,950,2627
3,144,0,740,740,3577
4,183,0,1280,1280,4317
5,208,0,810,810,5597
6,232,0,810,810,6407
7,257,0,810,810,7217
8,282,0,820,820,8027
9,306,0,800,800,8847
10,323,0,530,530,9647
11,341,0,560,560,10177
12,358,0,560,560,10737
13,375,0,560,560,11297
14,392,0,550,550,11857
15,409,0,550,550,12407
16,433,0,800,800,12957
17,458,0,830,830,13757
18,482,0,810,810,14587
19,499,0,560,560,15397
20,516,0,550,550,15957
21,533,0,550,550,16507
22,556,0,770,770,17057
23,585,0,950,950,17827
24,618,0,1090,1090,18777
25,635,0,540,540,19867
26,654,0,610,610,20407
27,671,0,550,550,21017
28,688,0,550,550,21567
29,705,0,550,550,22117
30,729,0,790,790,22667
31,754,0,820,820,23457
32,784,0,960,960,24277
33,808,0,770,770,25237
34,829,0,660,660,26007
35,847,0,560,560,26667
36,865,0,560,560,27227
37,888,0,750,750,27787
38,905,0,550,550,28537
39,929,0,800,800,29087
40,954,0,820,820,29887
41,978,0,810,810,30707
42,1002,0,790,790,31517
43,1020,0,560,560,32307
44,1036,0,520,520,32867
45,1065,0,960,960,33387
46,1082,0,540,540,34347
47,1099,0,510,510,34887
48,1117,0,560,560,35397
49,1134,0,560,560,35957
50,1151,0,560,560,36517
51,1168,0,550,550,37077
52,1186,0,600,600,37627
53,1203,0,560,560,38227
54,1222,0,620,620,38787
55,1238,0,520,520,39407
56,1257,0,600,600,39927
57,1276,0,610,610,40527
58,1305,0,980,980,41137
59,1343,0,1280,1280,42117
60,1381,0,1280,1280,43397
61,1405,0,790,790,44677
62,1421,0,500,500,45467
63,1440,0,570,570,45967
64,1457,0,520,520,46537
65,1479,0,720,720,47057
66,1503,0,790,790,47777
67,1525,0,720,720,48567
68,1549,0,790,790,49287
69,1573,0,800,800,50077
70,1596,0,740,740,50877
71,1620,0,740,740,51617
72,1644,0,780,780,52357
73,1682,0,1280,1280,53137
74,1705,0,770,770,54417
75,1722,0,530,530,55187
76,1749,0,880,880,55717
77,1787,0,1280,1280,56597
78,1816,0,960,960,57877
79,1844,0,960,960,58837
80,1872,0,960,960,59797
81,1900,0,960,960,60757
82,1923,0,740,740,61717
83,1947,0,770,770,62457
84,1972,0,790,790,63227
85,1996,0,780,780,64017
86,2020,0,750,750,64797
87,2044,0,760,760,65547
88,2068,0,760,760,66307
89,2091,0,770,770,67067
90,2122,0,1050,1050,67837
91,2142,0,630,630,68887
92,2175,0,1090,1090,69517
93,2200,0,780,780,70607
94,2224,0,780,780,71387
95,2247,0,750,750,72167
,,,,,72917
